team_name
Rakow
Legia
Pogon
Widzew
Wisla Plock
Stal Mielec
Cracovia
Lech
Radomiak
Slask
Jagiellonia
Warta
Gornik Zabrze
Zaglebie Lublin
Lechia
Piast
Korona
Miedz
